date,symbol,open,high,low,close,volume,sma_20,sma_50,rsi_14
2025-07-03,JPM,292.1499938964844,296.3999938964844,291.2099914550781,296.0,6541600,,,
2025-07-07,JPM,295.25,296.0400085449219,290.0799865722656,291.9700012207031,8825700,,,
2025-07-08,JPM,289.2699890136719,289.70001220703125,280.30999755859375,282.7799987792969,15440900,,,
2025-07-09,JPM,287.17999267578125,287.20001220703125,282.4800109863281,283.1600036621094,11273800,,,
2025-07-10,JPM,283.0,288.30999755859375,283.0,288.19000244140625,8410900,,,
2025-07-11,JPM,285.5199890136719,287.3800048828125,283.6499938964844,286.8599853515625,7384700,,,
2025-07-14,JPM,287.07000732421875,289.29998779296875,285.260009765625,288.70001220703125,9079900,,,
2025-07-15,JPM,288.0,291.95001220703125,285.4800109863281,286.54998779296875,12526100,,,
2025-07-16,JPM,288.3999938964844,290.7300109863281,283.010009765625,285.82000732421875,9979800,,,
2025-07-17,JPM,283.44000244140625,290.29998779296875,283.44000244140625,289.8999938964844,8509500,,,
2025-07-18,JPM,289.5199890136719,292.5,288.2300109863281,291.2699890136719,12217000,,,
2025-07-21,JPM,291.0,294.17999267578125,290.5799865722656,290.9700012207031,7898100,,,
2025-07-22,JPM,291.5,293.6300048828125,289.17999267578125,291.42999267578125,6717500,,,
2025-07-23,JPM,292.8399963378906,296.989990234375,292.54998779296875,296.760009765625,7083500,,,
2025-07-24,JPM,297.4200134277344,299.5899963378906,296.20001220703125,296.54998779296875,7001200,,,60.899125536632646
2025-07-25,JPM,296.70001220703125,298.8999938964844,295.9599914550781,298.6199951171875,5918500,,,64.65819990317844
2025-07-28,JPM,297.6600036621094,299.42999267578125,296.82000732421875,298.2799987792969,5840400,,,63.577059921597105
2025-07-29,JPM,300.0,301.2900085449219,296.20001220703125,297.0400085449219,7635700,,,59.65906837320921
2025-07-30,JPM,297.4200134277344,300.6099853515625,297.3800048828125,299.6300048828125,8061700,,,64.57035642119601
2025-07-31,JPM,299.1400146484375,300.9800109863281,295.5,296.239990234375,14749700,291.83599853515625,,55.11261178434177
2025-08-01,JPM,290.3999938964844,291.79998779296875,284.239990234375,289.3699951171875,12007100,291.50449829101564,,41.7626042750272
2025-08-04,JPM,290.260009765625,294.32000732421875,290.260009765625,294.260009765625,6649500,291.6189987182617,,50.88277121781571
2025-08-05,JPM,294.69000244140625,295.7900085449219,287.239990234375,291.3699951171875,7182300,292.0484985351562,,46.27084027348257
2025-08-06,JPM,292.29998779296875,293.2900085449219,290.1600036621094,291.3500061035156,6330200,292.45799865722654,,46.23962247134818
2025-08-07,JPM,292.94000244140625,293.4599914550781,286.4100036621094,286.94000244140625,8057100,292.39549865722654,,39.85151717976955
2025-08-08,JPM,288.9800109863281,291.2300109863281,284.7099914550781,288.760009765625,6634100,292.49049987792966,,43.331056670522784
2025-08-11,JPM,289.3999938964844,291.32000732421875,288.7799987792969,289.55999755859375,5510100,292.5334991455078,,44.841500041214026
2025-08-12,JPM,291.5,294.75,290.3399963378906,292.8500061035156,8570900,292.84850006103517,,50.6653446715136
2025-08-13,JPM,293.95001220703125,294.54998779296875,287.1600036621094,290.5299987792969,8420400,293.08399963378906,,46.90447225617912
